TICKER,PERMNO
USWC,80702
JTWO,11745
ISOL,44207
JBOH,11671
ICNT,44581
VIFL,77004
MEDW,76945
BARR,16986
INFD,44090
CMED,28063
THR,57162
CAP,27642
BSML,76931
MITK,11803
LPAC,76791
SYBR,79500
UNIV,76472
CMGI,80114
NOBH,57745
DGSE,10028
PLR,43705
EWEB,79393
PNDR,76420
CCIL,76899
SFTW,80477
EDCO,10536
INOD,79499
AMS,13769
APOL,81138
IGLC,44522
FSVP,10806
JDSU,79879
MGNL,76581
SBNK,76045
MODT,76228
FAME,36709
IATV,76290
PLY,68996
NCOM,76402
AOL,77418
KLOC,12202
MXP,68566
ACRT,76542
NETE,75684
ACMI,79027
MODM,80255
KKRO,77226
PRZ,76951
MTMC,79721
JWG,10624
ARB,49322
CMMD,76330
KEA,47248
MBMI,53496
CIA,23799
CADA,11656
GSTD,11811
TTMT,79931
AIM,11157
VTX,70260
BNHNA,11510
XETA,11426
ESI,81128
VRTS,80055
DYNT,31051
FAMA,35052
HYPR,60354
MSON,77282
SEMI,75554
NTLI,76799
PVCC,90820
QLGC,80266
USAI,78840
CSCO,76076
MSS,12217
DCR,81027
MFAC,51626
DPAC,10012
UCTN,77675
SVEV,77015
SVO,39589
THM,75951
GTII,39379
PENG,64152
NGA,11975
HDVS,77101
HLYW,79392
PHSE,79185
CDWC,79157
USGL,70704
SOLV,71117
DCSR,78924
PSUN,78999
FFD,79823
AMFB,75683
HOSS,42578
USAM,77687
OHB,54439
AEOS,80432
VVTV,77007
FTIL,35802
PCSN,11306
USRV,10837
LST,22728
ENCD,79962
HBCCA,80752
STRT,81278
WSVS,82887
FAH,87864
PTIS,63344
MPET,89790
TO,75272
WASH,11397
ASND,80506
PLLL,61218
TXCO,33815
DELL,11081
BV,27087
MPI,17347
GF,16109
TMR,68742
TOGA,79310
TOF,68718
ETV,53137
CCU,24046
WBPR,93105
NPIX,80652
CRSS,12155
SND,59977
NRMI,79511
GSBC,75906
MKCO,47029
CELL,80439
SDI,41750
EFSB,11497
DAHL,28282
CGCO,57656
WSBK,93060
DMK,70148
TNI,68603
SQAI,72291
IFNY,80634
ERO,31683
GDT,81126
ABCC,91783
INF,10343
MITY,80460
SJNB,91601
BCRX,80306
EVSI,79381
SAV,42198
PIX,49568
YOCM,11805
MEDI,76656
QUST,89325
AROS,10875
HZB,61751
KRA,61970
GRIN,79836
ARSD,14761
DEER,11232
HRT,32571
BGI,17807
EMC,10147
GBY,50657
SFM,60708
TTRR,78100
SMLS,69220
CADE,20547
FSTC,10130
CTZN,77273
RSFC,91441
SEL,36417
EYE,75056
WRC,38885
NAVR,80001
CIDN,26295
MSFT,10107
INSO,80334
BBY,85914
CHN,59854
UFS,81090
KTEL,56557
SPO,47853
ROF,23624
NYB,11911
LASE,77230
ABCW,77783
STB,76060
MATW,80759
SLR,75857
DGIC,11748
MSIX,54341
OPTT,11539
CK,15712
WHO,11366
HFFC,77507
NYCOA,76552
TMC,81193
FCIT,10957
HARB,80130
HIPC,41874
OVT,39394
FFRV,11078
MRX,76391
PRK,76266
ATCS,10011
ACL,28695
QUIP,10586
NPT,65381
HHOT,40476
GDI,80446
PDKL,76410
TRFI,10242
MCRS,53480
TPC,76634
SPRH,72013
APCC,11970
STRS,77790
TSS,76639
MDCL,79176
JKHY,88664
KWN,52847
GTNR,75714
CEFT,26332
CSFC,23836
CGF,79435
VKNG,76104
LNCR,77421
GTW,79973
TNI,69040
GTAX,81156
TAYD,74740
BRAN,19079
UHOS,77670
MVBI,79406
ABRX,80499
MTO,12224
CH,61727
EDUC,31668
CSTR,28661
EASI,87581
HFET,10754
WFDS,77523
VER,53997
SCA,73753
ELD,31852
TRBO,80482
MTRO,53226
RSLA,10546
AFP,57349
SANF,91695
DEN,42526
ANBC,76877
BANC,15617
CAMP,20670
TMBS,76268
PDCO,78034
CAN,37815
BNF,10995
QCHI,79731
FFBA,77779
ACS,80913
COX,81188
JBL,79094
TTI,37225
CFCP,77433
ISLH,45402
CATA,21291
BIV,54033
TFS,76448
NETN,76400
KIDE,10092
ALS,17304
BGL,75233
DV,76708
DWL,77929
SANM,79108
LOJN,89659
CENF,77024
HOMF,11866
KDI,63650
ALO,61268
HANS,88031
MPH,20095
MRCC,11776
MCHP,78987
LSER,48806
RAWA,91409
ESX,31720
HML,24926
UACI,78394
CTAL,78879
PR,69075
RCF,76314
MACE,79846
ER,80388
CPTL,86925
RT,39212
DKB,12006
ABC,10233
WSMC,82465
DXK,29859
FUS,77634
AFIL,12918
GMRK,40388
DWYR,10680
MLD,43377
DVN,75390
CMD,52652
RJR,14218
MEC,76492
EWST,10001
PSY,16360
NYFX,79427
CHG,54009
IT,79698
CVX,23210
AVEC,77441
DAKT,80233
MTLC,11901
DLP,79255
ISYS,76372
BCIS,76308
DG,10559
DUK,27959
SFSL,11937
FGRP,34383
ACO,11599
TSAR,67679
XCL,11571
EIPM,31211
GGGO,92161
PICOA,62851
IBCP,88912
KSS,77606
MRD,50666
NCBC,56275
BRK,50737
WCOM,11042
CTY,10916
BMCS,11976
WEDC,45903
PBKC,11598
SMCS,76988
FSKY,36282
CFO,50649
STE,77649
NSIT,81220
TOTL,11214
NTI,77488
AMGN,14008
CFED,11991
WPI,78916
CRRS,27802
BRR,16978
VIS,16791
OMT,55642
ALGI,10488
FFLC,80122
HHS,79903
CFSB,76205
DKWD,77887
ZOLT,78062
BCP,10318
GLR,42075
TBAC,76553
AVCS,12627
ELTX,78145
CPN,57269
AADV,77431
LKK,33582
FSR,36127
TWRX,12261
HWKN,41241
DFG,76099
FSLA,77775
FBD,11502
IMSI,43298
CHK,78877
BRF,27289
ADTN,80791
BPRX,77207
HFF,50729
ESRX,77668
AAR,47650
WGNR,75110
BUTL,10362
TEKS,78214
TRK,81292
CON,30760
SNI,54981
GEB,25910
PTSI,10649
MKC,47837
LUKN,77580
SRL,40010
SUNW,10078
IPSW,79173
ED,11404
SAL,36396
LHP,86106
CLK,30568
THQI,76999
ECGC,33575
HFED,88640
TRI,37508
TFH,77200
USHC,79119
ASW,60003
SA,17291
OFG,11208
LWAY,12209
AVD,46156
SPN,36708
TLZ,80698
NBAK,56101
TED,24491
UCIT,78530
PSFT,78083
GLDR,39256
NOXL,58596
PLR,43692
PFKY,76078
NSCB,55731
CBWV,10792
PPD,63811
ISTN,80755
LORX,80827
CNXS,11411
IACI,43992
PWR,62631
WCO,49728
SBIB,78009
RMI,35203
USL,41259
ASVI,80798
ECA,31632
KHG,89360
TVGIA,79882
XQ,11215
FBNC,11285
SJW,54199
DOMZ,30411
IPL,21370
CMK,30365
CBKS,25260
GBS,25291
CNTX,11706
SHP,36986
HMGC,89077
SNV,20053
AFM,79163
SCFB,10431
CBCL,76037
LAB,67707
OFCP,80834
OCA,81172
ONBK,11558
VCR,11819
CZ,19027
ELCN,31836
RBPAA,11750
LLSL,10983
SECB,69762
MMZ,10801
BERK,17770
TCA,75445
FCLR,35378
SWBS,76756
WRS,75196
LNT,58819
POM,23501
BUE,29970
FBP,11018
SBI,22998
LKS,40053
SUBI,79113
BRW,47677
RCH,65761
PHC,77526
MEDQ,77575
NETA,77976
TGL,80284
PLT,80185
PAYX,61621
TE,37161
LTWO,81008
AIT,65859
SPOR,80479
FAJ,10628
CVB,20395
ESCI,31422
FSBI,11506
PNU,35430
OGE,24440
AWK,23544
SFD,70923
CBH,86845
AND,29073
SEWY,69682
SAVO,12253
ATK,76477
PLX,63240
NATI,81501
CEG,24221
ORU,27385
PBK,63590
CTSC,76908
MCOR,10121
WXS,79532
HAMP,77685
SGA,57947
TBDI,79873
HAHN,78826
KU,40213
WEC,23536
SFSW,76443
TRST,77519
NI,38762
NBR,29102
MBNY,52872
SMS,56979
UTP,24424
MDU,23835
AK,10123
WGL,21231
SGP,25013
KP,12199
OKSB,80007
REXI,66617
METS,90107
CPL,23114
WPI,22218
IUTL,45947
CPWR,78139
VR,61698
BRO,63467
OFC,42008
SO,18411
PE,21776
SWS,38869
FDEF,79382
AYL,22277
BLS,65883
DEI,59395
ROP,77338
FCTR,11389
FRSH,10847
TDAY,10730
D,64936
MME,28097
PSC,52898
RELY,80496
GBCI,87952
CLU,11295
OTR,77275
COT,11332
BKH,61946
AEE,24985
LCE,80775
FFKT,10913
LNSB,10106
SG,79526
FPC,22496
MCRI,79507
KWIC,77838
GRAN,16644
COX,40854
MSBC,62923
FPL,24205
BPOP,16505
CNIT,77835
MCK,81061
FITB,34746
CMD,63933
SECD,76197
WHI,59838
NVH,79613
ATTC,15820
UPEN,79709
TCBK,79116
SGNL,11225
BRK,17778
NOR,58406
STY,14592
CBM,28505
CPY,23595
ARL,44046
SAJ,24467
YBTVA,81119
DTE,11674
YFED,83898
CNE,64418
MTP,24256
CWD,11498
NSP,23931
BSE,25144
VCI,77461
SOA,36249
IOR,24352
EI,32943
STBA,77528
PICM,62843
HD,66181
SNPX,12094
EDE,23042
WTR,62295
NCE,22613
GROV,10551
YES,75950
PGS,64646
SKYF,79254
EIX,15720
PVY,35617
PCLE,81098
BEL,65875
JSB,76210
JMED,10410
VF,80064
STFC,76722
HMA,76565
IRWN,89237
SIG,24299
AMI,75477
PBCI,75856
CIP,24870
SPS,25283
CIV,24002
CNL,64557
SFP,77042
DPL,22859
MRK,22752
FFYF,79264
PAC,66026
BGSS,16185
CSR,23851
STLY,78068
GRD,48880
KGE,25523
CTG,60169
VVC,51633
NANO,90377
LLTC,10299
COF,81055
PEG,23712
NBTY,56937
CCP,28142
BRID,19271
KLT,24432
ROP,20343
ABS,50032
NRIM,76529
WMT,55976
BMTC,86124
GHB,56864
SCG,23085
MSRR,11822
LSNB,11515
IWCR,43984
ANR,24141
IBC,76745
BTH,80592
DLJ,54295
ACCC,85017
ATVI,79678
FPU,37023
NVR,79785
AFL,57904
AYE,10137
PFNC,91257
PULS,10675
GAF,41953
CER,24117
KOOL,11394
IWG,24416
HOEN,77029
UCU,26606
NEG,24096
CRN,60062
NPBC,56611
IBIS,80537
MFCB,77791
GRIF,40118
CIN,22947
V,46842
GRP,85201
MTEK,77340
MBN,10880
UXP,79118
PGN,45858
ASV,50964
DUNK,30876
SWWC,71782
MZ,12976
OAR,56733
HNBC,10638
WSC,38906
BRY,17953
GLBL,78889
ENGH,33014
EQNX,79085
ENA,25208
DW,87426
DQE,25072
PNY,49971
WWY,15472
TCAM,81110
OLDB,12068
AVRT,81141
KR,16678
CGF,41232
WPS,25099
MPL,24248
FSFI,11831
CXP,80415
MEE,52636
HSY,16600
MHMY,80142
HSR,80393
BFOH,79073
REI,21792
FSA,80596
BRBK,19191
DBHI,41815
ASBK,76730
TFB,28548
SUMX,55160
SYI,79013
FSCC,11720
FAST,11618
PVSA,75550
MSEX,53859
CYE,86597
BKC,12504
VYBN,80021
PIE,60564
OI,13661
BNK,86255
FIZ,76839
SBC,66093
BTX,77393
FMBC,35909
FTFC,75851
HERS,10757
TR,14816
CYT,80079
ETW,32281
ACMTA,11647
EGN,26470
EPG,77481
CBO,12044
DEP,29488
MERQ,79718
AWR,71475
ASGN,77917
PTEN,79857
IPW,24723
KO,11308
CDB,64899
TSRI,74500
AMZ,13283
LXU,10658
OTTR,60098
BGC,58202
BET,38471
NHHC,34228
GNK,79268
WSBC,11293
RXH,53874
SUO,14357
CULL,27896
REX,58836
SLE,22840
PFE,21936
WIND,79121
CC,47175
CGAS,49032
PFDC,11493
CVE,81057
FWRD,79841
SWY,76149
OCGT,58748
TRMK,35263
NES,23499
UNSA,11207
STFR,79309
TNP,30728
FCHT,10968
FIR,18569
QCSB,79859
MIV,56944
KEYC,10020
USLD,76453
CCNC,20096
RIMG,78054
PETD,62341
BPFH,80223
KRON,77662
DII,60273
GFS,32205
OAT,24539
SRP,46017
KRSC,76520
ERTS,75828
RNI,25849
MWE,42817
HVFD,10566
HRD,59301
ABL,39482
ORCL,10104
SOLR,14737
NJR,64450
UCI,10085
CTWS,26463
MNC,79607
LMR,40766
BUD,59184
TXU,24563
PSD,25443
SMTS,76990
WMCO,76013
CYBX,78881
HOLL,79802
URI,58130
ADVG,25049
BWL,60898
CMBK,11327
SKYW,10421
MLL,27027
BCO,38527
MIAM,53720
LNN,12211
IROQ,10009
CAG,56274
BCNJ,11566
MFLR,11839
CFA,23035
GRI,32352
FCX,75294
AHL,59643
UTI,80104
CGL,56602
CERB,22382
FFBC,35685
CPB,25320
EMMS,80297
LMED,50359
PNW,27991
RHEM,91492
SSIA,73016
RARB,11322
PCG,13688
RHI,52230
SQB,45604
FFFG,12164
NABI,57913
NOR,64055
SMTC,50948
LGE,23827
HRI,33988
WLA,24678
PPL,22517
CTCO,25348
FMBN,77378
KSE,10823
IMAT,43749
BKCO,76105
CHG,22437
UCAR,78503
RFED,11045
FON,39087
PGR,64390
ALII,75836
NFG,25590
IES,26585
FHRI,79490
AHP,15667
AEP,24109
RBNC,11634
UCT,63802
LIFE,49534
CEC,75432
COMR,24935
SLFC,11938
RDK,54818
ENEX,32804
FSH,77150
IDA,21928
ATG,15553
WEG,81569
CECX,54245
ABGA,11186
BSYS,77426
CGX,80621
MAIR,53082
CFGI,76050
PFGI,64515
EAGL,77784
ELB,31879
CATY,76504
PPW,42833
HCC,78033
PMB,48194
EMPI,32417
HACH,40628
FCP,34121
AT,41443
RMCF,10044
COV,68355
PMRP,77990
ACTN,79069
UFX,78079
OMD,34905
UBSI,11369
NU,44206
HNZ,23077
CBSS,22032
ALBK,77493
SNG,55204
CDU,45997
TCNJ,77490
EUA,44599
ATE,24301
NGNA,57171
UIL,53663
CEQ,38922
CINF,23473
FPI,54500
VISX,12265
CLR,30584
PROP,64291
UST,15077
THFF,77379
SYY,52038
MDB,76422
CGC,56952
WIC,61882
VASO,12171
MGC,50163
CRVL,76721
HE,41187
NBTB,77415
GEC,62236
TELU,34287
FHCC,11371
FBIC,36549
WAVR,81737
INBF,43976
RYFL,10170
FISV,10696
CLACB,24687
CBCI,77350
KJI,67627
NWNG,58334
PDEX,10550
NYN,66018
DUR,76635
BTZ,78948
AVA,24969
NCBE,77181
JWC,40301
SCP,36257
JW,82924
FITC,87840
FBRC,34017
SGA,79033
PSDI,80469
SRCE,36346
LINB,49606
SCM,20474
CTP,42710
SAFE,11138
KMB,17750
MFC,68574
CTC,39335
UHAL,81073
NEGX,17946
EE,31712
HMN,77120
BMY,19393
MCG,40782
GRN,62252
FELE,37568
SHR,77075
AFWY,75483
XRAY,11600
LP,41195
UCM,20853
GQ,21274
FBAN,10629
TNW,18200
GTE,21004
UCMP,11956
OMK,44687
SLMAJ,12092
GIS,17144
PIHC,80353
HMNF,80633
CL,18729
ARM,27270
VIAS,81519
MDT,60097
WR,24053
BMET,18092
ALNT,49729
FRST,36602
FCF,77643
SCRP,69519
MDSN,50789
JET,33267
CBR,80316
MKL,10933
VAL,37807
LG,12781
DMCB,10969
GMAI,79167
CPQ,68347
NLG,61444
INTG,55678
BOOL,18754
CBMD,80737
MCD,43449
SCBC,88023
ADLA,10564
SRP,38658
APCO,12126
QUIZ,80268
BOA,80593
GOSHB,90740
HFIN,10839
LUK,20415
PDE,12074
JOR,27377
HDI,70033
BFCI,77478
ARO,27502
XOM,11850
LSCC,75854
JNC,77608
PNT,38340
NNBR,80343
GNTX,38659
SS,61030
KGR,64602
UNTD,88050
ESOL,79486
FE,23026
ATO,32986
NCG,58043
JNJ,22111
KHLR,46958
RCAP,44863
ALTR,75577
EGY,77820
USW,66122
MM,19043
PAY,77372
DGAS,29285
PEBO,78903
BUR,20677
FFPC,10799
DCPI,11005
SFE,46340
SUBK,75509
JPS,59790
MTB,51610
DAPN,28979
SFX,66069
MOTR,55336
